,characterName,characterLink,actorName,actorLink,houseName,royal,parents,siblings,killedBy,characterImageThumb,characterImageFull,nickname,killed,servedBy,parentOf,marriedEngaged,serves,kingsguard,guardedBy,actors,guardianOf,allies,abductedBy,abducted,sibling,gender,type,hasChildren,hasSiblings,hasAllies,hasKilled
0,Aegon Targaryen,,,,Targaryen,True,"['Elia Martell', 'Rhaegar Targaryen']","['Rhaenys Targaryen', 'Jon Snow']",['Gregor Clegane'],,,,,,,,,,,,,,,,,,,,,,
1,Aeron Greyjoy,/character/ch0540081/,Michael Feast,/name/nm0269923/,Greyjoy,,,"['Balon Greyjoy', 'Euron Greyjoy']",,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1_.jpg,Damphair,,,,,,,,,,,,,,male,,,,,
2,Aerys II Targaryen,/character/ch0541362/,David Rintoul,/name/nm0727778/,Targaryen,True,,['Rhaella Targaryen'],['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,The Mad King,"['Brandon Stark', 'Rickard Stark']","['Arthur Dayne', 'Jaime Lannister']","['Daenerys Targaryen', 'Rhaegar Targaryen', 'Viserys Targaryen']",['Rhaella Targaryen'],,,,,,,,,,,,3.0,3.0,,2.0
3,Akho,/character/ch0544520/,Chuku Modu,/name/nm6729880/,,,,,['Daario Naharis'],https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
4,Alliser Thorne,/character/ch0246938/,Owen Teale,/name/nm0853583/,,,,,['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg",,['Jon Snow'],,,,,,,,,,,,,male,,,,,1.0
5,Alton Lannister,/character/ch0305012/,Karl Davies,/name/nm0203801/,Lannister,,,,['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
6,Alys Karstark,/character/ch0576836/,Megan Parkinson,/name/nm8257864/,,,['Harald Karstark'],,,,,,,,,,,,,,,,,,,female,,,,,
7,Amory Lorch,/character/ch0305002/,Fintan McKeown,/name/nm0571654/,,,,,"[""Jaqen H'ghar""]",https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_.jpg,,['Yoren'],,,,,,,,,,,,,male,,,,,1.0
8,Areo Hotah,/character/ch0507107/,Deobia Oparei,/name/nm0649046/,,,,,['Tyene Sand'],https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,['Doran Martell'],,,,,,,,,male,,,,,
9,Arthur Dayne,/character/ch0540097/,Luke Roberts,/name/nm1074361/,,,,,"['Howland Reed', 'Eddard Stark']",https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,['Aerys II Targaryen'],True,,,,,,,,male,,,,,
10,Arya Stark,/character/ch0158604/,Maisie Williams,/name/nm3586035/,Stark,,"['Eddard Stark', 'Catelyn Stark']","['Robb Stark', 'Sansa Stark', 'Bran Stark', 'Rickon Stark']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,"['Red Keep Stableboy', 'Frey Soldier #1', 'Polliver', 'Rorge', 'Ghita', 'Meryn Trant', 'The Waif', 'Black Walder Rivers', 'Lothar Frey', 'Walder Frey', 'Petyr Baelish', 'The Night King', 'White Walker', 'Viserion']",,,,,,['Nymeria'],,,,,,,female,,,,,14.0
